is_generator,own,entity,years,hour,offer,limit,taken,price
True,False,Wind (On+Offshore),1,144,0.0,17.45601503328016,0.0,100.0
True,False,Wind (On+Offshore),1,145,0.0,18.24661968474162,0.0,100.0
True,False,Wind (On+Offshore),1,146,0.0,18.85365903394265,0.0,100.0
True,False,Wind (On+Offshore),1,147,0.0,19.430975175838185,0.0,100.0
True,False,Wind (On+Offshore),1,148,0.0,19.15383076486316,0.0,100.0
True,False,Wind (On+Offshore),1,149,0.0,19.900340548343912,0.0,100.0
True,False,Wind (On+Offshore),1,150,0.0,20.80395871329666,0.0,100.0
True,False,Wind (On+Offshore),1,151,0.0,21.72064202431776,0.0,100.0
True,False,Wind (On+Offshore),1,152,0.0,22.590617438144484,0.0,100.0
True,False,Wind (On+Offshore),1,153,0.0,23.137557115431083,0.0,100.0
True,False,Wind (On+Offshore),1,154,0.0,23.10309779267579,0.0,100.0
True,False,Wind (On+Offshore),1,155,0.0,23.02340040165881,0.0,100.0
True,False,Wind (On+Offshore),1,156,0.0,23.474147941017133,0.0,100.0
True,False,Wind (On+Offshore),1,157,0.0,24.33154815175306,0.0,100.0
True,False,Wind (On+Offshore),1,158,0.0,24.727748706275992,0.0,100.0
True,False,Wind (On+Offshore),1,159,0.0,24.59023804390653,0.0,100.0
True,False,Wind (On+Offshore),1,160,0.0,25.47768809059969,0.0,100.0
True,False,Wind (On+Offshore),1,161,0.0,26.624154658098018,0.0,100.0
True,False,Wind (On+Offshore),1,162,0.0,27.626577990192715,0.0,100.0
True,False,Wind (On+Offshore),1,163,0.0,28.138895030398167,0.0,100.0
True,False,Wind (On+Offshore),1,164,0.0,28.481038543063267,0.0,100.0
True,False,Wind (On+Offshore),1,165,0.0,28.685181450381343,0.0,100.0
True,False,Wind (On+Offshore),1,166,0.0,28.83673714477429,0.0,100.0
True,False,Wind (On+Offshore),1,167,0.0,27.96643510229585,0.0,100.0
True,False,Wind (On+Offshore),1,168,0.0,24.082167176173296,0.0,100.0
True,False,Wind (On+Offshore),1,169,0.0,23.838828830650147,0.0,100.0
True,False,Wind (On+Offshore),1,170,0.0,23.588467969115253,0.0,100.0
True,False,Wind (On+Offshore),1,171,0.0,22.376838985600997,0.0,100.0
True,False,Wind (On+Offshore),1,172,0.0,21.26221871164428,0.0,100.0
True,False,Wind (On+Offshore),1,173,0.0,21.054809517809115,0.0,100.0
True,False,Wind (On+Offshore),1,174,0.0,21.5519383257101,0.0,100.0
True,False,Wind (On+Offshore),1,175,0.0,22.891115797716697,0.0,100.0
True,False,Wind (On+Offshore),1,176,0.0,23.47300474073615,0.0,100.0
True,False,Wind (On+Offshore),1,177,0.0,23.80877899469293,0.0,100.0
True,False,Wind (On+Offshore),1,178,0.0,24.705211329308074,0.0,100.0
True,False,Wind (On+Offshore),1,179,0.0,25.730825295674105,0.0,100.0
True,False,Wind (On+Offshore),1,180,0.0,26.93347199126637,0.0,100.0
True,False,Wind (On+Offshore),1,181,0.0,27.722116870817576,0.0,100.0
True,False,Wind (On+Offshore),1,182,0.0,28.337648564963043,0.0,100.0
True,False,Wind (On+Offshore),1,183,0.0,28.53689204250549,0.0,100.0
